"LogID","UserID","TableName","Action","Description","LogDate"
"1","U023","pig","INSERT","Added pig: Oj (P056)","5/12/2025 12:35:27"
"2","U023","expenses","INSERT","Added expense: Feed ₱225.00","5/12/2025 12:36:01"
"3","U023","pig","UPDATE","Updated pig info for: Oj","5/12/2025 12:36:57"
"4","U023","expenses","INSERT","Added expense: Sold ₱250.00","5/12/2025 12:36:57"
"5","U023","pig","UPDATE","Updated pig info for: Oj","5/12/2025 12:36:57"
"6","U025","pig","INSERT","Added pig: Micha (P057)","5/12/2025 13:14:17"
"7","U025","expenses","INSERT","Added expense: Feed ₱400.00","5/12/2025 13:15:29"
"8","U025","reminders","INSERT","Added reminder: Booster","5/12/2025 13:16:36"
"9","U025","pig","INSERT","Added pig: Jene (P058)","5/12/2025 13:18:22"
"10","U025","pig","UPDATE","Updated pig info for: Micha","5/12/2025 13:19:28"
"11","U025","expenses","INSERT","Added expense: Sold ₱250.00","5/12/2025 13:19:28"
"12","U025","pig","UPDATE","Updated pig info for: Micha","5/12/2025 13:19:28"
"13","U025","pig","UPDATE","Updated pig info for: Jene","5/12/2025 13:19:28"
"14","U025","expenses","INSERT","Added expense: Sold ₱250.00","5/12/2025 13:19:28"
"15","U025","pig","UPDATE","Updated pig info for: Jene","5/12/2025 13:19:28"
"16","U025","expenses","UPDATE","Updated expense: E154","5/12/2025 13:20:42"
"17","U025","expenses","DELETE","Deleted expense: E156","5/12/2025 13:21:07"
"18","U025","pig","UPDATE","Updated pig info for: Jene","5/12/2025 13:21:07"
"19","U025","reminders","INSERT","Added reminder: Buy feeds","5/12/2025 13:22:23"
"20","U025","pig","UPDATE","Updated pig info for: Jene","5/12/2025 13:34:43"
"21","U025","expenses","INSERT","Added expense: Sold ₱1.00","5/12/2025 13:34:43"
"22","U025","pig","UPDATE","Updated pig info for: Jene","5/12/2025 13:34:43"
